title,category,body,keywords
"What is Makutano AI",Overview,"Makutano AI is an AI sales assistant for your business. It turns every website visitor, WhatsApp enquiry, Instagram bio click, Google Business visitor and QR scan into a qualified sales conversation, 24 hours a day. It answers customer questions instantly, recommends the right product or service from your own catalogue, explains pricing and availability, qualifies serious buyers, and hands them to your WhatsApp with the full conversation.","what is makutano, ai assistant, ai sales, chatbot, overview, about"
"Who Makutano is for",Overview,"Makutano is built for any business that answers customer questions and captures leads. It adapts to your industry, so tour operators, hotels and lodges, hospitals and clinics, schools and universities, government services, shops and retail, real estate agencies, restaurants and cafes, ICT and tech agencies, and any other business can all use it.","who is it for, industries, use cases, suitable for"
"Why choose Makutano",Overview,"You never miss an enquiry again. Makutano replies instantly, day and night, even while you sleep. It qualifies leads automatically, captures contact details, and sends booking-ready customers straight to your team. It is like hiring your best salesperson, one that never sleeps and never forgets to follow up.","why makutano, benefits, value, never miss a lead"
"Your AI salesperson",AI Team,"The core assistant answers every customer in seconds, recommends the right option from your catalogue, explains pricing and availability, qualifies the serious buyers, and hands them to WhatsApp with the full conversation, day and night.","ai salesperson, sales agent, answers customers, recommends, qualifies"
"Your AI data analyst",AI Team,"Ask your business numbers anything and get an answer from your real data: your top performers, where leads drop off, your conversion rate, and what customers ask about most. No spreadsheets needed.","ai analyst, analytics, insights, numbers, reporting, data"
"Your AI research assistant",AI Team,"Point it at a question customers keep asking and it researches the topic, drafts a knowledge entry for you to approve, and keeps your website content in sync so your assistant only gets sharper over time.","ai researcher, research, knowledge gaps, drafts, website sync"
"Hosted AI page and QR code",Feature,"You get a ready-made AI page and a QR code, so you can start capturing leads even without a website. Share the link on WhatsApp, Instagram or Google Business, or print the QR code for your shop, flyer or vehicle.","hosted page, qr code, no website, share link, landing page"
"Website chat widget",Feature,"Add a chat bubble to your own website with a single line of code. It matches your brand colour and logo, works on mobile, and greets visitors so they start a conversation.","widget, chat bubble, embed, website chat, script tag"
"WhatsApp lead handoff",Feature,"Connect your WhatsApp number and the assistant hands sales-ready customers straight to you on WhatsApp, with the full context of what they want, so you can close the deal.","whatsapp, lead handoff, follow up, contact, close"
"Email lead alerts",Feature,"Get an email the moment a sales-ready lead arrives, so your team can follow up fast even when they are away from the dashboard.","email alerts, notifications, leads, follow up"
